id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba1;1712600140385;24.5;68.2;293;112
nodoPrueba1;1712600763723;24.5;68.2;293;112
nodoPrueba1;1712600879320;24.5;68.2;293;112
nodoPrueba1;1712600885257;24.5;68.2;293;112
nodoPrueba1;1712600887577;24.5;68.2;293;112
nodoPrueba1;1712601059361;24.5;68.2;293;112
nodoPrueba1;1712601068330;24.5;68.2;293;112
nodoPrueba1;1712601071073;24.5;68.2;293;112
nodoPrueba1;1712601081380;24.5;68.2;293;112
nodoPrueba1;1712601167984;24.5;68.2;293;112
nodoPrueba1;1712602891091;24.5;68.2;293;112
