id_nodo; timestamp; temperatura; humedad; CO2; volatiles
23;1712908287701;24.5;68.2;293;112
23;1712908454322;24.5;68.2;293;112
23;1712908594496;24.5;68.2;293;112
23;1712909477792;24.5;68.2;293;112
23;1712909679382;24.5;68.2;293;112
23;1712909756266;24.5;68.2;293;112
23;1712909856866;24.5;68.2;293;112
23;1712909919071;24.5;68.2;293;112
23;1712909936306;24.5;68.2;293;112
23;1712912418045;24.5;68.2;293;112
23;1712912419040;24.5;68.2;293;112
23;1712912433950;24.5;68.2;293;112
23;1712912434975;24.5;68.2;293;112
23;1712912721240;24.5;68.2;293;112
23;1712912999744;24.5;68.2;293;112
23;1712913026839;24.5;68.2;293;112
23;1712913059104;14.5;78.2;203;92
23;1712913140397;14.5;78.2;203;92
23;1712913562357;14.5;10;203;92
23;1712913631135;3.5;20;178;120
23;1712913740176;14.5;78.2;200;112
23;1712913778728;14.5;78.2;200;112
23;1712913779061;14.5;78.2;200;112
23;1712913780057;14.5;78.2;200;112
