id_nodo; timestamp; temperatura; humedad; CO2; volatiles
21;1713979819875;24.5;68.2;293;11
21;1713980501406;24.5;68.2;293;11
21;1713980502181;24.5;68.2;293;11
21;1713980502943;24.5;68.2;293;11
21;1713980508853;24.5;68.2;293;11
21;1713980522569;24.5;68.2;293;11
21;1713980533297;24.5;68.2;293;11
21;1713980811592;24.5;68.2;293;11
21;1713980829589;24.5;68.2;293;11
21;1713980841733;24.5;68.2;293;11
21;1713982093061;24.5;68.2;293;11
21;1713982101165;26.5;68.2;293;11
21;1713982501626;26.5;68.2;293;11
