id_nodo; timestamp; temperatura; humedad; CO2; volatiles
70;1714605680147;24.5;68.2;293;112

70;1714605684899;24.5;68.2;293;112

70;1714605685752;24.5;68.2;293;112

70;1714605686487;24.5;68.2;293;112

70;1714605687160;24.5;68.2;293;112

70;1714605687794;24.5;68.2;293;112

70;1714605689730;24.5;68.2;293;112

70;1714605690403;24.5;68.2;293;112

70;1714605691034;24.5;68.2;293;112

70;1714605691621;24.5;68.2;293;112

70;1714605692212;24.5;68.2;293;112

70;1714605692852;24.5;68.2;293;112

70;1714605693470;24.5;68.2;293;112

70;1714605694163;24.5;68.2;293;112

70;1714605694810;24.5;68.2;293;112

70;1714605695500;24.5;68.2;293;112

70;1714605696224;24.5;68.2;293;112

70;1714605696944;24.5;68.2;293;112

70;1714605698844;24.5;68.2;293;112

70;1714605699470;24.5;68.2;293;112

70;1714605699837;24.5;68.2;293;112

70;1714605700159;24.5;68.2;293;112

70;1714605701696;24.5;68.2;293;112

70;1714605703699;24.5;68.2;293;112

70;1714605704671;24.5;68.2;293;112

70;1714605705416;24.5;68.2;293;112

70;1714605706133;24.5;68.2;293;112

70;1714605706828;24.5;68.2;293;112

70;1714605708401;24.5;68.2;293;112

70;1714605708718;24.5;68.2;293;112

70;1714605709108;24.5;68.2;293;112

70;1714605715933;24.5;68.2;293;112

70;1714605730318;24.5;68.2;293;112

70;1714605731170;24.5;68.2;293;112

70;1714605731969;24.5;68.2;293;112

70;1714605732806;24.5;68.2;293;112

70;1714605733530;24.5;68.2;293;112

70;1714605734353;24.5;68.2;293;112

70;1714605735110;24.5;68.2;293;112

70;1714605735909;24.5;68.2;293;112

70;1714605736599;24.5;68.2;293;112

70;1714605737461;24.5;68.2;293;112

70;1714605738233;24.5;68.2;293;112

70;1714605739077;24.5;68.2;293;112

70;1714605739881;24.5;68.2;293;112

70;1714605837829;24.5;68.2;293;112

70;1714605838600;24.5;68.2;293;112

70;1714605839268;24.5;68.2;293;112

70;1714605840054;24.5;68.2;293;112

70;1714605840760;24.5;68.2;293;112

70;1714605841396;24.5;68.2;293;112

70;1714605842068;24.5;68.2;293;112

70;1714605842701;24.5;68.2;293;112

70;1714605843421;24.5;68.2;293;112

70;1714605844095;24.5;68.2;293;112

70;1714605844795;24.5;68.2;293;112

70;1714605845487;24.5;68.2;293;112

70;1714605846576;24.5;68.2;293;112

70;1714605847478;24.5;68.2;293;112

70;1714605848435;24.5;68.2;293;112

70;1714605849367;24.5;68.2;293;112

70;1714605850241;24.5;68.2;293;112

70;1714605850999;24.5;68.2;293;112

70;1714605852771;24.5;68.2;293;112

70;1714605873178;24.5;68.2;293;112

70;1714605882299;24.5;68.2;293;112

70;1714605883063;24.5;68.2;293;112

70;1714605883782;24.5;68.2;293;112

70;1714605884514;24.5;68.2;293;112

70;1714605885155;24.5;68.2;293;112

70;1714605889398;24.5;68.2;293;112

